index,value,area,init_name,final_name,init_date,final_date,grid,geometry
0,1,1900.0,xxx,xxx,20190730,20190908,T20LNP,"POLYGON ((0 0, 0.1 0.1, -0.1 -0.1, -0.5 -0.5, 0 0))"
1,1,2400.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.67020202767554 -9.950702747852905, -62.66965465142865 -9.950702207634201, -62.66965428784937 -9.951063985621442, -62.67020166469867 -9.951064525860167, -62.67020202767554 -9.950702747852905))"
2,1,1500.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.32828066250752 -9.951095199630736, -62.32809821311589 -9.951094833111732, -62.32809765848252 -9.951366152359714, -62.32791520894737 -9.951365785730998, -62.32791465414753 -9.951637104964368, -62.32818832867879 -9.951637654885408, -62.32818888325274 -9.951366335636751, -62.32828010802474 -9.951366518888907, -62.32828066250752 -9.951095199630736))"
3,1,2600.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.53463382801547 -9.952260007640996, -62.53445137141409 -9.952259753669503, -62.53445111518475 -9.952440639663763, -62.53454234353503 -9.952440766664308, -62.53454221544364 -9.952531209661881, -62.53463344382024 -9.952531336638714, -62.53463331575272 -9.952621779636974, -62.53472454415566 -9.9526219065901, -62.53481577255982 -9.952622033518333, -62.53481564454128 -9.952712476518455, -62.53490687297177 -9.952712603422979, -62.53490661698124 -9.952893489424108, -62.53499784546315 -9.952893616306094, -62.53499771749116 -9.952984059307097, -62.5350889459994 -9.952984186165372, -62.53518017450886 -9.952984312998758, -62.53518004658586 -9.953074756001621, -62.53527127512165 -9.953074882811293, -62.53527178670592 -9.952713110792192, -62.53518055827055 -9.952712983987222, -62.53518068618867 -9.952622540982398, -62.5349982293718 -9.952622287300141, -62.5349070009652 -9.952622160421683, -62.5349071289574 -9.952531717419895, -62.53481590057714 -9.952531590517721, -62.53481602859321 -9.952441147516616, -62.53472480023927 -9.952441020590735, -62.53463357188653 -9.952440893639965, -62.53463382801547 -9.952260007640996))"
4,1,2100.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.36467735690859 -9.952251614657856, -62.36422122851071 -9.952250747714293, -62.36422105355292 -9.952341188112717, -62.36412982785325 -9.952341014647747, -62.36412965286868 -9.952431455044074, -62.36422087859344 -9.95243162851065, -62.36422070363231 -9.952522068908092, -62.36431192938384 -9.952522242351391, -62.36476805816657 -9.952523109194631, -62.36476788335437 -9.952613549601221, -62.36495033492933 -9.952613896167534, -62.36495050969134 -9.952523455757735, -62.36485928392812 -9.952523282488622, -62.36485945871355 -9.952432842079938, -62.36476823297711 -9.95243266878755, -62.36476840778597 -9.952342228379978, -62.36467718207629 -9.952342055064312, -62.36467735690859 -9.952251614657856))"
5,1,2200.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.75139484640298 -9.952943641828469, -62.75093869313234 -9.952943302370286, -62.75093814475908 -9.953666863463384, -62.75102937561276 -9.953666931409838, -62.75102951265978 -9.953486041138236, -62.75121197426868 -9.953486176953948, -62.75121231662372 -9.953033951260103, -62.75139477798415 -9.953034086969959, -62.75139484640298 -9.952943641828469))"
6,1,3200.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.55990290254383 -9.953198654173553, -62.55972044478131 -9.953198413967154, -62.55972032360924 -9.953288857276776, -62.55899049240466 -9.953287895446687, -62.55899012827895 -9.953559225345892, -62.55990241804943 -9.953560427418015, -62.55990290254383 -9.953198654173553))"
7,1,10300.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.36540559068845 -9.953066964229585, -62.36513191292696 -9.953066444691993, -62.36512981615518 -9.954151729580326, -62.36494736372003 -9.954151383058978, -62.36494683933893 -9.954422704260383, -62.36485561304854 -9.954422530957558, -62.36485508857712 -9.954693852149719, -62.36494631494281 -9.954694025457361, -62.36494614014077 -9.954784465855369, -62.36512859292738 -9.95478481239919, -62.36512911717789 -9.954513491194049, -62.36576770145636 -9.954514703279688, -62.3657671777331 -9.954786024518505, -62.36585840414059 -9.954786197578846, -62.36585857869157 -9.954695757164796, -62.3659498050756 -9.954695930198641, -62.36594997959981 -9.954605489782494, -62.36613243232268 -9.954605835772316, -62.366132606795 -9.954515395352473, -62.36604138045784 -9.954515222371613, -62.36604155495361 -9.954424781952881, -62.36595032864322 -9.954424608948729, -62.36595050316243 -9.954334168531112, -62.36585927687882 -9.954333995503674, -62.36586049864237 -9.953700912577801, -62.36567804643159 -9.953700566470708, -62.36567787184873 -9.953791006886954, -62.36531296734676 -9.953790314367696, -62.36522174122544 -9.953790141175663, -62.36522296414908 -9.953157058307744, -62.36540541604196 -9.953157404644463, -62.36540559068845 -9.953066964229585))"
8,1,6600.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.36986959234988 -9.956240835275313, -62.36977836546757 -9.956240663284666, -62.36977749795332 -9.956692865651831, -62.36950381693969 -9.956692349506612, -62.36950346977172 -9.956873230440479, -62.36941224272027 -9.956873058339095, -62.36941189549545 -9.957053939267807, -62.36922944129707 -9.957053594983975, -62.36922926763195 -9.957144035444408, -62.36868190492592 -9.957143001985823, -62.36868207874172 -9.957052561534967, -62.36859085165496 -9.957052389206329, -62.36859033012726 -9.957323710552647, -62.36849910296682 -9.957323538194327, -62.36849892909581 -9.957413978640515, -62.36859015628137 -9.957414151000435, -62.36913751942949 -9.95741518463711, -62.36913769312469 -9.957324744179752, -62.3696850561818 -9.957325776910562, -62.3696847090911 -9.957506657843926, -62.3697759363233 -9.957506829881774, -62.36977732444549 -9.956783306123791, -62.36986855147845 -9.956783478123999, -62.36986872496116 -9.956693037650448, -62.36995995197067 -9.956693209624166, -62.3699606457845 -9.956331447718673, -62.36986941887545 -9.956331275751324, -62.36986959234988 -9.956240835275313))"
9,1,8300.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.38720205492617 -9.956634824887063, -62.38701960034185 -9.95663449032833, -62.38701926282017 -9.956815371866698, -62.3869280354802 -9.956815204546889, -62.38692786669182 -9.956905645313787, -62.3867454119665 -9.956905310596378, -62.38674524312628 -9.956995751359688, -62.38665401574094 -9.956995583962089, -62.386653846874 -9.957086024723351, -62.38656261946514 -9.957085857299306, -62.38656245057147 -9.957176298058528, -62.38647122313912 -9.957176130608037, -62.38647105421874 -9.957266571365217, -62.38637982676287 -9.957266403888278, -62.38637965781577 -9.957356844643417, -62.38628843033641 -9.95735667714003, -62.38628826136257 -9.957447117893125, -62.3861970338597 -9.957446950363288, -62.38619669585698 -9.957627831864905, -62.38628792341007 -9.957627999397845, -62.38637915096479 -9.957628166905884, -62.38637898201124 -9.957718607659061, -62.38647020959267 -9.957718775143759, -62.3864697027977 -9.957990097404984, -62.38656093045609 -9.957990264869435, -62.38656194388086 -9.95744762033325, -62.38710930896093 -9.957448624541275, -62.38710947770873 -9.957358183774227, -62.38756561519418 -9.957359019921819, -62.38756544657194 -9.95744946069661, -62.38765667409898 -9.957449627852984, -62.3876570112916 -9.957268746299812, -62.38756578381481 -9.957268579146533, -62.38756595243382 -9.957178138370757, -62.38747472498374 -9.957177971194131, -62.38747489362626 -9.957087530419411, -62.38738366620289 -9.957087363219435, -62.38738400353334 -9.956906481671622, -62.38729277616182 -9.956906314449846, -62.38729311353604 -9.956725432903166, -62.38720188621636 -9.956725265659593, -62.38720205492617 -9.956634824887063))"
10,1,5600.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.35736957884704 -9.957211883428, -62.35682221729559 -9.957210830540561, -62.35682115476733 -9.957753471975973, -62.35691238183903 -9.957753647529207, -62.35691185062744 -9.958024968245157, -62.35700307777617 -9.95802514377837, -62.35736798638799 -9.958025845662242, -62.35736816333464 -9.957935405415963, -62.35773307187302 -9.957936106894962, -62.35773324871752 -9.957845666641694, -62.35755079449519 -9.957845315955234, -62.35745956738655 -9.95784514057466, -62.35745974430471 -9.95775470032577, -62.35736851722287 -9.957754524921921, -62.35736957884704 -9.957211883428))"
11,1,6800.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.66508608591285 -9.957661892616102, -62.6649948546517 -9.957661801183141, -62.66499457792484 -9.957933134432642, -62.66453842125539 -9.957932676881592, -62.66453869835904 -9.957661343644801, -62.66417377334079 -9.957660977165892, -62.6641736808733 -9.957751421575253, -62.66426491215167 -9.957751513233184, -62.66444737471104 -9.957751696474334, -62.66444682033981 -9.958294362935487, -62.66453805177154 -9.958294454523799, -62.66462928320415 -9.958294546087204, -62.66462909850718 -9.958475434907069, -62.6647203299909 -9.95847552644727, -62.66471986835865 -9.958927748492595, -62.66481109996887 -9.95892784001213, -62.66517602641852 -9.958928205841206, -62.66517611862112 -9.958837761428887, -62.66508488703251 -9.958837670009819, -62.66508608591285 -9.957661892616102))"
12,1,1600.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.99927013497646 -9.958734156225962, -62.99917890184851 -9.958734156014259, -62.99917890071794 -9.959186385844459, -62.99890520095729 -9.959186385059873, -62.99890520035429 -9.95936727698852, -62.99899643365809 -9.959367277274961, -62.99899643310534 -9.959548169201661, -62.99917889981344 -9.959548169699829, -62.99917890049183 -9.959276831809035, -62.99927013377051 -9.959276832020752, -62.99927013497646 -9.958734156225962))"
13,1,1500.0,S2B_MSIL2A_20190908T142759_N0213_R053_T20LNP_20190908T165448,S2A_MSIL2A_20200131T142651_N0213_R053_T20LNP_20200131T164410,20190908,20200131,T20LNP,"POLYGON ((-62.60359435372747 -9.959313051072744, -62.60350312263661 -9.959312942837045, -62.60350301344565 -9.959403386621542, -62.60332055121679 -9.959403170073427, -62.60332033273126 -9.95958405763694, -62.6034115638954 -9.95958416592546, -62.6034114546762 -9.959674609707484, -62.60350268586651 -9.959674717972097, -62.60350257667139 -9.959765161754635, -62.60359380788787 -9.959765269995348, -62.60359369871681 -9.959855713778392, -62.60368492995947 -9.959855821995198, -62.60368503910539 -9.959765378211149, -62.60377627032395 -9.959765486402041, -62.60377637944372 -9.959675042616498, -62.60368514825027 -9.959674934426605, -62.60368536653691 -9.959494046856047, -62.60359413539476 -9.959493938643254, -62.60359435372747 -9.959313051072744))"
